x-axis,1,2,3
second,Volt,Volt,Volt
-13.55000E-03,+2.44375002E+00,+2.43750000E+00,+2.47499990E+00
-13.50000E-03,+2.50625002E+00,+2.43750000E+00,+2.47499990E+00
-13.45000E-03,+2.44375002E+00,+2.43750000E+00,+2.47499990E+00
-13.40000E-03,+2.47500002E+00,+2.46875000E+00,+2.50624990E+00
-13.35000E-03,+2.47500002E+00,+2.43750000E+00,+2.50624990E+00
-13.30000E-03,+2.41250002E+00,+2.46875000E+00,+2.47499990E+00
-13.25000E-03,+2.47500002E+00,+2.50000000E+00,+2.50624990E+00
-13.20000E-03,+2.41250002E+00,+2.50000000E+00,+2.47499990E+00
-13.15000E-03,+2.44375002E+00,+2.50000000E+00,+2.50624990E+00
-13.10000E-03,+2.44375002E+00,+2.50000000E+00,+2.47499990E+00
-13.05000E-03,+2.44375002E+00,+2.46875000E+00,+2.50624990E+00
-13.00000E-03,+2.41250002E+00,+2.50000000E+00,+2.47499990E+00
-12.95000E-03,+2.41250002E+00,+2.50000000E+00,+2.50624990E+00
-12.90000E-03,+2.41250002E+00,+2.50000000E+00,+2.47499990E+00
-12.85000E-03,+2.38125002E+00,+2.46875000E+00,+2.47499990E+00
-12.80000E-03,+2.38125002E+00,+2.46875000E+00,+2.47499990E+00
-12.75000E-03,+2.38125002E+00,+2.50000000E+00,+2.47499990E+00
-12.70000E-03,+2.35000002E+00,+2.46875000E+00,+2.44374990E+00
-12.65000E-03,+2.35000002E+00,+2.43750000E+00,+2.44374990E+00
-12.60000E-03,+2.31875002E+00,+2.43750000E+00,+2.38124990E+00
-12.55000E-03,+2.35000002E+00,+2.46875000E+00,+2.38124990E+00
-12.50000E-03,+2.31875002E+00,+2.40625000E+00,+2.38124990E+00
-12.45000E-03,+2.25625002E+00,+2.37500000E+00,+2.38124990E+00
-12.40000E-03,+2.28750002E+00,+2.40625000E+00,+2.38124990E+00
-12.35000E-03,+2.25625002E+00,+2.37500000E+00,+2.34999990E+00
-12.30000E-03,+2.25625002E+00,+2.34375000E+00,+2.31874990E+00
-12.25000E-03,+2.22500002E+00,+2.31250000E+00,+2.31874990E+00
-12.20000E-03,+2.22500002E+00,+2.31250000E+00,+2.31874990E+00
-12.15000E-03,+2.16250002E+00,+2.31250000E+00,+2.28749990E+00
-12.10000E-03,+2.13125002E+00,+2.28125000E+00,+2.25624990E+00
-12.05000E-03,+2.16250002E+00,+2.21875000E+00,+2.22499990E+00
-12.00000E-03,+2.13125002E+00,+2.25000000E+00,+2.19374990E+00
-11.95000E-03,+2.10000002E+00,+2.25000000E+00,+2.16249990E+00
-11.90000E-03,+2.03750002E+00,+2.18750000E+00,+2.19374990E+00
-11.85000E-03,+2.06875002E+00,+2.18750000E+00,+2.16249990E+00
-11.80000E-03,+2.03750002E+00,+2.15625000E+00,+2.13124990E+00
-11.75000E-03,+2.00625002E+00,+2.15625000E+00,+2.06874990E+00
-11.70000E-03,+1.94375002E+00,+2.12500000E+00,+2.06874990E+00
-11.65000E-03,+1.94375002E+00,+2.09375000E+00,+2.03749990E+00
-11.60000E-03,+1.94375002E+00,+2.03125000E+00,+1.97499990E+00
-11.55000E-03,+1.88125002E+00,+2.03125000E+00,+2.00624990E+00
-11.50000E-03,+1.91250002E+00,+2.03125000E+00,+1.97499990E+00
-11.45000E-03,+1.78750002E+00,+1.96875000E+00,+1.94374990E+00
-11.40000E-03,+1.78750002E+00,+1.96875000E+00,+1.91249990E+00
